T,1.00%,2.50%,5.00%,99.00%,97.50%,95.00%,1.00%,2.50%,5.00%,99.00%,97.50%,95.00%,1.00%,2.50%,5.00%,99.00%,97.50%,95.00%
1230,-3.3047,-2.5563,-2.0118,4.1228,3.1637,2.5543,-3.9526,-3.1777,-2.7449,5.189,3.8358,3.0329,-4.0166,-2.6827,-2.0508,4.2254,3.2423,2.7139
1231,-3.1504,-2.4983,-1.8367,3.1993,2.609,2.0706,-4.3627,-3.1658,-2.5767,3.7094,3.3165,2.718,-3.8695,-2.7794,-2.3326,3.4244,2.5106,2.0475
1232,-2.9443,-2.4864,-2.0058,3.4025,2.5797,2.0805,-4.1075,-2.9672,-2.2427,3.8521,3.054,2.3656,-4.0634,-3.0181,-2.4675,4.5149,3.2879,2.6445
1233,-3.0599,-2.2063,-1.7576,3.3768,2.6212,2.0812,-3.1384,-2.4982,-2.0376,3.2669,2.6175,2.1971,-3.7933,-2.8349,-2.2063,4.1962,3.4621,2.5706
1234,-2.4984,-2.0022,-1.64,2.9368,2.4215,1.9429,-3.2785,-2.5364,-2.0536,3.6103,3.1002,2.4188,-3.7824,-3.0674,-2.3731,3.9454,2.9821,2.2454
1235,-2.4746,-1.8492,-1.488,2.8756,2.0642,1.6868,-3.1996,-2.484,-1.8699,3.616,2.777,2.2922,-3.6879,-2.792,-2.2025,4.2683,3.2096,2.5282
1236,-2.2112,-1.9553,-1.5383,2.5641,2.218,1.7192,-3.4889,-2.7308,-2.0315,3.4769,2.908,2.3282,-3.1967,-2.6432,-2.092,4.2558,3.2486,2.6378
1237,-2.3996,-1.8952,-1.5288,2.4556,2.0506,1.7827,-3.3815,-2.602,-1.9151,3.5995,2.8154,2.1237,-3.9168,-2.8584,-2.2357,5.0085,3.3111,2.5439
1238,-2.2433,-1.8274,-1.305,2.6637,2.0139,1.6194,-2.8434,-2.0841,-1.7236,3.213,2.466,1.8914,-4.5656,-3.6038,-2.6428,4.0155,3.1649,2.7162
1239,-2.2448,-1.6324,-1.345,2.3811,1.8523,1.5288,-3.0193,-2.1391,-1.6027,3.1412,2.4747,1.9689,-4.8505,-4.0204,-2.8067,4.3595,3.7017,3.0605
1240,-2.1897,-1.9028,-1.5847,2.5158,2.0786,1.7895,-2.7103,-2.2017,-1.5887,2.9701,2.3772,1.9027,-4.567,-3.6138,-2.5063,4.4064,3.3943,2.9103
1241,-2.7386,-2.138,-1.7367,2.9438,2.3233,1.9546,-2.7875,-2.19,-1.6723,2.8051,2.2919,1.8392,-4.042,-3.0635,-2.242,4.4774,3.2878,2.5598
1242,-3.8926,-3.0192,-2.3894,3.8323,3.1467,2.7095,-2.5602,-1.8141,-1.477,2.9377,2.2457,1.7569,-5.1314,-3.859,-2.6994,5.1261,3.7455,2.7708
1243,-3.8961,-3.1545,-2.5608,4.4933,3.5545,2.9867,-2.3423,-1.8072,-1.4573,2.9723,2.4834,1.8668,-4.4049,-3.0256,-2.4847,3.7878,3.1447,2.5382
1244,-4.6384,-3.7991,-3.0614,5.1875,4.0594,3.3096,-2.3713,-2.0025,-1.6514,2.8817,2.3062,1.9319,-3.9443,-3.1913,-2.4019,4.1602,3.3534,2.7275
1245,-5.2318,-3.7499,-2.9765,4.8848,4.0381,3.2908,-2.5571,-2.1658,-1.7662,3.8475,2.9414,2.2456,-4.4481,-3.7043,-2.6974,4.0965,3.3702,2.7501
1246,-4.8508,-3.5207,-2.8079,4.7192,3.7917,3.021,-4.1038,-3.4275,-2.7535,3.8125,3.2351,2.6033,-4.6171,-3.5027,-2.6403,4.423,3.3438,2.757
1247,-4.4253,-3.5978,-2.8442,5.1561,4.2051,3.3676,-4.37,-3.4236,-2.9142,4.3737,3.3849,2.7155,-4.0684,-2.7565,-2.1389,4.3558,3.1664,2.372
1248,-4.2234,-3.3368,-2.5809,5.3676,4.1244,3.3407,-4.6662,-3.8338,-2.996,5.5929,4.2405,3.5761,-3.2666,-2.5845,-2.0852,3.5645,2.6588,2.1246
